family,dataset,method,method_variant,rank_assignment,alpha,runs,completed_runs,mean_peak_accuracy,min_peak_accuracy,max_peak_accuracy,mean_final_accuracy
mnist_family,qmnist,zeropadding,standard,medium,0.4,3,3,0.771411111111,0.724183333333,0.79545,0.771294444444
mnist_family,qmnist,zeropadding,standard,medium,0.8,3,3,0.792416666666,0.774283333333,0.811883333333,0.792416666666
mnist_family,qmnist,zeropadding,standard,mismatch,0.1,3,3,0.546138888889,0.47315,0.604766666667,0.545244444445
mnist_family,qmnist,zeropadding,standard,mismatch,0.4,3,3,0.737405555555,0.7136,0.766783333333,0.737405555555
mnist_family,qmnist,zeropadding,standard,mismatch,0.8,3,3,0.781461111111,0.751216666667,0.808033333333,0.781077777778
nlp,agnews,flora,corrected,correct,0.4,1,1,0.913947368421,0.913947368421,0.913947368421,0.905789473684
nlp,agnews,flora,corrected,mismatch,0.4,1,1,0.918552631579,0.918552631579,0.918552631579,0.916973684211
nlp,agnews,flora,unspecified,correct,0.4,1,1,0.498289473684,0.498289473684,0.498289473684,0.498289473684
nlp,agnews,flora,unspecified,mismatch,0.4,1,1,0.287894736842,0.287894736842,0.287894736842,0.287894736842
nlp,agnews,rbla,standard,correct,0.4,1,1,0.906842105263,0.906842105263,0.906842105263,0.83
nlp,agnews,rbla,standard,mismatch,0.4,1,1,0.902763157895,0.902763157895,0.902763157895,0.784078947368
nlp,agnews,rbla_plus,standard,correct,0.4,1,1,0.909868421053,0.909868421053,0.909868421053,0.887236842105
nlp,agnews,rbla_plus,standard,mismatch,0.4,1,1,0.905,0.905,0.905,0.890921052632
nlp,agnews,sp,standard,correct,0.4,1,1,0.9075,0.9075,0.9075,0.896710526316
nlp,agnews,sp,standard,mismatch,0.4,1,1,0.893157894737,0.893157894737,0.893157894737,0.886447368421
nlp,agnews,zeropadding,standard,correct,0.4,1,1,0.895,0.895,0.895,0.887763157895
nlp,agnews,zeropadding,standard,mismatch,0.4,1,1,0.853552631579,0.853552631579,0.853552631579,0.841578947368
nlp,imdb,flora,corrected,correct,0.4,1,1,0.83648,0.83648,0.83648,0.82136
nlp,imdb,flora,corrected,mismatch,0.4,1,1,0.82376,0.82376,0.82376,0.80856
nlp,imdb,flora,unspecified,correct,0.4,1,1,0.55144,0.55144,0.55144,0.55136
nlp,imdb,flora,unspecified,mismatch,0.4,1,1,0.54576,0.54576,0.54576,0.54552
nlp,imdb,rbla,standard,correct,0.4,1,1,0.84148,0.84148,0.84148,0.76508
nlp,imdb,rbla,standard,mismatch,0.4,1,1,0.83096,0.83096,0.83096,0.80368
nlp,imdb,rbla_plus,standard,correct,0.4,1,1,0.82248,0.82248,0.82248,0.80696
nlp,imdb,rbla_plus,standard,mismatch,0.4,1,1,0.81412,0.81412,0.81412,0.81192
nlp,imdb,sp,standard,correct,0.4,1,1,0.81888,0.81888,0.81888,0.81164
nlp,imdb,sp,standard,mismatch,0.4,1,1,0.80972,0.80972,0.80972,0.78764
nlp,imdb,zeropadding,standard,correct,0.4,1,1,0.81216,0.81216,0.81216,0.80572
